id,trial,AgeGroup,age_yr,age_mo,question_cond,quality_cond,exposure_cond,n_attempts_color,n_attempts_head,n_attempts_legs,exp_answer_response,exp_answer_correct,trial_index,trial_type,hint_a,hint_b,hint_c,r_shape,r_legs,b_shape,b_legs,p_shape,p_legs,question,question_program,question_abstracted_idealized,notes,EIG,entropy,question_standard
107,2,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1,1,How many monsters have a square head?
107,3,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many monsters have a circle head and more than one leg?,(++ (map (lambda x0 (and (> (legs x0) 1) (== (shape x0) Circle))) (set b r p))),(++ (map (lambda x0 (and (> (legs x0) n) (== (shape x0) s))) (set b r p))),rewrite,1.7345587976584804,5.75488750216347,How many monsters have more than one leg and a circle head?
107,4,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many monsters have only 1 or 2 legs?,(++ (map (lambda x0 (or (== (legs x0) 1) (== (legs x0) 2))) (set b r p))),(++ (map (lambda x0 (or (== (legs x0) n) (== (legs x0) n))) (set b r p))),NA,1.3921472236645345,3.169925001442312,How many monsters have one or two legs?
109,1,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,how many monsters have square heads,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,6.1699250014423175,How many monsters have a square head?
109,2,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,how many monsters have two legs,(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.3921472236645345,3.169925001442312,How many monsters have two legs?
109,3,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,does the blue monster have a square head,(== (shape b) Square),(== (shape c) s),NA,0.9999999999999994,5.75488750216347,Does the blue monster have a square head?
109,4,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,does the red monster have a square head,(== (shape r) Square),(== (shape c) s),NA,1,1,Does the red monster have a square head?
110,1,Adults,NA,NA,legs,bad,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,how many legs does the monster have?,(legs b),(legs c),NA,1.584962500721156,4.584962500721156,How many legs does the blue monster have?
110,2,Adults,NA,NA,legs,bad,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,how many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,How many legs does the purple monster have?
110,3,Adults,NA,NA,legs,bad,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,does the monster have a square or round head?,NA,NA,ambiguous,NA,2,NA
110,4,Adults,NA,NA,legs,bad,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,how many legs does the monster have?,NA,NA,ambiguous,NA,6.754887502163456,NA
111,1,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1,1,How many monsters have a square head?
111,2,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many monsters have a circle head and two legs?,(++ (map (lambda x0 (and (== (legs x0) 2) (== (shape x0) Circle))) (set b r p))),(++ (map (lambda x0 (and (== (legs x0) n) (== (shape x0) s))) (set b r p))),NA,1.0222670655189312,6.1699250014423175,How many monsters have two legs and a circle head?
111,3,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many monsters have a circle head and three legs?,(++ (map (lambda x0 (and (== (legs x0) 3) (== (shape x0) Circle))) (set b r p))),(++ (map (lambda x0 (and (== (legs x0) n) (== (shape x0) s))) (set b r p))),NA,1.5880914479405832,5.75488750216347,How many monsters have three legs and a circle head?
111,4,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many monsters have more than one leg?,(++ (map (lambda x0 (> (legs x0) 1)) (set b r p))),(++ (map (lambda x0 (> (legs x0) n)) (set b r p))),NA,1.3921472236645345,3.169925001442312,How many monsters have more than one leg?
114,1,Adults,NA,NA,legs,good,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster in the box have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,How many legs does the purple monster have?
114,2,Adults,NA,NA,legs,good,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many legs does the blue monster have?,(legs b),(legs c),NA,1.584962500721156,4.584962500721156,How many legs does the blue monster have?
114,3,Adults,NA,NA,legs,good,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,how many monsters have square heads?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.4999999999999998,6.754887502163456,How many monsters have a square head?
114,4,Adults,NA,NA,legs,good,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,what head shape is the blue monster?,(shape b),(shape c),NA,1,2,What shape is the blue monster's head?
115,1,Adults,NA,NA,heads,bad,baseline,3,2,3,NA,NA,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Do the other monsters have more than one leg?,(and (> (legs b) 1) (> (legs p) 1)),(and (> (legs c) n) (> (legs c) n)),NA,0.9910760598382222,3.169925001442312,Do the blue monster and the purple monster both have more than one leg?
115,2,Adults,NA,NA,heads,bad,baseline,3,2,3,NA,NA,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Does the red monster have the same head shape as the purple monster?,(== (shape r) (shape p)),(== (shape c) (shape c)),NA,1,1,Is the red monster's head the same shape as the purple monster's head?
115,3,Adults,NA,NA,heads,bad,baseline,3,2,3,NA,NA,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,Do the other monsters look the same as the purple monster?,NA,NA,ambiguous,NA,6.1699250014423175,NA
115,4,Adults,NA,NA,heads,bad,baseline,3,2,3,NA,NA,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Is there a square headed monster with more than one leg?,(any (map (lambda x0 (and (> (legs x0) 1) (== (shape x0) Square))) (set b r p))),(any (map (lambda x0 (and (> (legs x0) n) (== (shape x0) s))) (set b r p))),rewrite,0.9182958340544891,5.75488750216347,Do any of the monsters have more than one leg and a square head?
117,1,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs do the monsters have combined?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,1.584962500721156,1.584962500721156,How many legs do all the monsters have combined together?
117,2,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Do all the monsters have the same shape head?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),NA,0.8112781244591324,6.754887502163456,Do all the monsters have the same head shape?
117,3,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Do the monsters that we don't know have the same shaped head as the monster we do know?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),NA,0.8112781244591328,2,Do all the monsters have the same head shape?
117,4,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Are there more square heads than circle heads?,(> (++ (map (lambda x0 (== (shape x0) Square)) (set b r p))) (++ (map (lambda x0 (== (shape x0) Circle)) (set b r p)))),(> (++ (map (lambda x0 (== (shape x0) s)) (set b r p))) (++ (map (lambda x0 (== (shape x0) s)) (set b r p)))),NA,0.9999999999999998,4.584962500721156,Are there more monsters with square heads or circle heads?
118,1,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many monsters have one leg?,(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.3921472236645345,3.169925001442312,How many monsters have one leg?
118,2,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many monsters have round heads?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,6.1699250014423175,How many monsters have a circle head?
118,3,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Does the red monster have a round head?,(== (shape r) Circle),(== (shape c) s),NA,1,1,Does the red monster have a circle head?
118,4,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Does the blue monster have a square head?,(== (shape b) Square),(== (shape c) s),NA,0.9999999999999994,5.75488750216347,Does the blue monster have a square head?
119,1,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,Does the purple monster have less than 3 legs?,(< (legs p) 3),(< (legs c) n),NA,0.9182958340544896,1.584962500721156,Does the purple monster have less than three legs?
119,2,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Do the red and blue monsters each have one type of head?,NA,NA,ambiguous,NA,2,NA
119,3,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Do the monsters have the same heads and legs?,NA,NA,ambiguous,NA,4.584962500721156,NA
119,4,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Is the purple monster the same as the other monsters?,NA,NA,ambiguous,NA,6.754887502163456,NA
120,1,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Are any of the monsters' legs the same number?,(< (setSize (unique (map (lambda x0 (legs x0)) (set b r p)))) 3),(< (setSize (unique (map (lambda x0 (legs x0)) (set b r p)))) n),rewrite,0.7642045065086197,6.754887502163456,Do any of the monsters have the same number of legs?
120,2,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,How many monsters have a square head?
120,3,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,How many monsters have circles for heads?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.5,2,How many monsters have a circle head?
120,4,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,What are the total number of legs of all the monsters?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,1.584962500721156,1.584962500721156,How many legs do all the monsters have combined together?
121,1,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many monsters with one leg have a square head?,(++ (map (lambda x0 (and (== (legs x0) 1) (== (shape x0) Square))) (set b r p))),(++ (map (lambda x0 (and (== (legs x0) n) (== (shape x0) s))) (set b r p))),rewrite,1.3250112108241772,4.584962500721156,How many monsters have one leg and a square head?
121,2,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,What color monster with more than two legs has a round head?,NA,NA,invalid,NA,2,NA
121,3,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many monsters does it take to get to the center of a tootsie pop?,NA,NA,invalid,NA,6.754887502163456,NA
121,4,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,How many legs does the purple monster have?
123,1,Adults,NA,NA,heads,good,baseline,3,2,3,NA,NA,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many total legs do the three monsters have?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.197159723424149,6.1699250014423175,How many legs do all the monsters have combined together?
123,2,Adults,NA,NA,heads,good,baseline,3,2,3,NA,NA,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Does the blue monster have more legs than the purple monster?,(> (legs b) (legs p)),(> (legs c) (legs c)),NA,0.9182958340544896,3.169925001442312,Does the blue monster have more legs than the purple monster?
123,3,Adults,NA,NA,heads,good,baseline,3,2,3,NA,NA,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many total legs do the monsters have?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.525968633001098,5.75488750216347,How many legs do all the monsters have combined together?
123,4,Adults,NA,NA,heads,good,baseline,3,2,3,NA,NA,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Is the red monster's head a square or a circle?,(shape r),(shape c),NA,1,1,What shape is the red monster's head?
126,1,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,How many monsters have circle heads?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1,1,How many monsters have a circle head?
126,2,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many monsters have one leg?,(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.3921472236645345,6.1699250014423175,How many monsters have one leg?
126,3,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many monsters have three legs?,(++ (map (lambda x0 (== (legs x0) 3)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.6982458350160314,5.75488750216347,How many monsters have three legs?
126,4,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Does the blue monster have two legs?,(== (legs b) 2),(== (legs c) n),NA,0.9182958340544896,3.169925001442312,Does the blue monster have two legs?
128,1,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many monsters have round heads?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,6.1699250014423175,How many monsters have a circle head?
128,2,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many monsters have 2 legs?,(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.3921472236645345,3.169925001442312,How many monsters have two legs?
128,3,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Does the red monster have a round or square head?,(shape r),(shape c),NA,1,1,What shape is the red monster's head?
128,4,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many monsters have round heads?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,0.9999999999999994,5.75488750216347,How many monsters have a circle head?
129,1,Adults,NA,NA,heads,bad,exposure,3,2,3,1,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,What shape head does the red monster have?,(shape r),(shape c),NA,1,1,What shape is the red monster's head?
129,2,Adults,NA,NA,heads,bad,exposure,3,2,3,1,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many monsters have 2 legs?,(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.3921472236645345,3.169925001442312,How many monsters have two legs?
129,3,Adults,NA,NA,heads,bad,exposure,3,2,3,1,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many monsters have 2 legs?,(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.6982458350160314,5.75488750216347,How many monsters have two legs?
129,4,Adults,NA,NA,heads,bad,exposure,3,2,3,1,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many monsters have square heads?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,6.1699250014423175,How many monsters have a square head?
133,1,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,do red and purple have the same amount of legs and head shape?,(and (== (legs r) (legs p)) (== (shape r) (shape p))),(and (== (legs c) (legs c)) (== (shape c) (shape c))),NA,0.6500224216483554,6.1699250014423175,Does the red monster have the same number of legs and head shape as the purple monster?
133,2,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,do all 3 monsters have a different amount of legs?,(== (setSize (unique (map (lambda x0 (legs x0)) (set b r p)))) 3),(== (setSize (unique (map (lambda x0 (legs x0)) (set b r p)))) n),rewrite,0.7642045065086203,3.169925001442312,Do all the monsters have a different number of legs?
133,3,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,are the 3 monsters all the same?,(and (=== (map (lambda x0 (legs x0)) (set b r p))) (=== (map (lambda x0 (shape x0)) (set b r p)))),(and (=== (map (lambda x0 (legs x0)) (set b r p))) (=== (map (lambda x0 (shape x0)) (set b r p)))),NA,0.30954342915032534,5.75488750216347,Do all the monsters have the same number of legs and the same head shape?
133,4,Adults,NA,NA,heads,bad,exposure,3,2,3,2,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,does red have the same head as purple?,(== (shape r) (shape p)),(== (shape c) (shape c)),NA,1,1,Is the red monster's head the same shape as the purple monster's head?
134,1,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Does the blue monster and red monster both have square heads?,(and (== (shape b) Square) (== (shape r) Square)),(and (== (shape c) s) (== (shape c) s)),NA,0.8112781244591324,6.754887502163456,Do the blue monster and the red monster both have a square head?
134,2,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Does the red monster have a square head?,(== (shape r) Square),(== (shape c) s),NA,1,2,Does the red monster have a square head?
134,3,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,How many legs does the purple monster have?
134,4,Adults,NA,NA,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Do all three monsters have square heads or circle heads?,NA,NA,ambiguous,NA,4.584962500721156,NA
135,1,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many monsters have a square head and an even number of legs?,(++ (map (lambda x0 (and (== (legs x0) 2) (== (shape x0) Square))) (set b r p))),(++ (map (lambda x0 (and (== (legs x0) n) (== (shape x0) s))) (set b r p))),rewrite,1.0222670655189303,6.754887502163456,How many monsters have two legs and a square head?
135,2,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many monsters have a square head and an even number of legs?,(++ (map (lambda x0 (and (== (legs x0) 2) (== (shape x0) Square))) (set b r p))),(++ (map (lambda x0 (and (== (legs x0) n) (== (shape x0) s))) (set b r p))),rewrite,0.6500224216483533,4.584962500721156,How many monsters have two legs and a square head?
135,3,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,How many legs does the purple monster have?
135,4,Adults,NA,NA,legs,good,exposure,3,2,3,3,3,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.5,2,How many monsters have a circle head?
136,1,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many monsters have square heads?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,6.1699250014423175,How many monsters have a square head?
136,2,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,What is the shape of the red monster's head?,(shape r),(shape c),NA,1,1,What shape is the red monster's head?
136,3,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many legs do each of the monsters have?,NA,NA,invalid,NA,5.75488750216347,NA
136,4,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many legs do the blue and purple monster have?,NA,NA,ambiguous,NA,3.169925001442312,NA
137,1,Adults,NA,NA,heads,bad,baseline,3,2,3,NA,NA,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many monsters have two legs?,(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.3921472236645345,3.169925001442312,How many monsters have two legs?
137,2,Adults,NA,NA,heads,bad,baseline,3,2,3,NA,NA,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many monsters have square heads?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,6.1699250014423175,How many monsters have a square head?
137,3,Adults,NA,NA,heads,bad,baseline,3,2,3,NA,NA,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many monsters have 3 legs?,(++ (map (lambda x0 (== (legs x0) 3)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.6982458350160314,5.75488750216347,How many monsters have three legs?
137,4,Adults,NA,NA,heads,bad,baseline,3,2,3,NA,NA,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Is the red monster's head square or circle?,(shape r),(shape c),NA,1,1,What shape is the red monster's head?
138,1,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many legs do all the monsters have combined,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.525968633001098,5.75488750216347,How many legs do all the monsters have combined together?
138,2,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,Do any of the monsters share the same combination of head and legs?,(or (or (and (== (legs b) (legs p)) (== (shape b) (shape p))) (and (== (legs b) (legs r)) (== (shape b) (shape r)))) (and (== (legs r) (legs p)) (== (shape r) (shape p)))),(or (or (and (== (legs c) (legs c)) (== (shape c) (shape c))) (and (== (legs c) (legs c)) (== (shape c) (shape c)))) (and (== (legs c) (legs c)) (== (shape c) (shape c)))),rewrite,0.9910760598382222,6.1699250014423175,Do any of the monsters have the same number of legs and the same head shape?
138,3,Adults,NA,NA,heads,good,exposure,3,2,3,3,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,What is the sum of all the legs,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.197159723424149,3.169925001442312,How many legs do all the monsters have combined together?
