id,trial,AgeGroup,AgeGroup_Split,age_yr,age_mo,age_mo_center,question_cond,quality_cond,exposure_cond,n_attempts_color,n_attempts_head,n_attempts_legs,exp_answer_response,exp_answer_correct,trial_index,trial_type,hint_a,hint_b,hint_c,r_shape,r_legs,b_shape,b_legs,p_shape,p_legs,question,question_standard,question_program,question_abstracted_idealized,notes,EIG,entropy,match_head,match_legs,target_match,target_sim_standard,target_dist,same_as_last,sim_to_last_standard,dist_to_last,prev_trial_indices_reuse,prev_trial_indices_remixing
64,1,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,3,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,How many monsters have a circle head?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1,1,1,0,1,0.8565942645072937,0,NA,NA,NA,NA,NA
64,2,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,3,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many monsters have only 1 leg?,How many monsters have one leg?,(++ (map (lambda x0 (== (legs x0) 1)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.3921472236645345,3.169925001442312,0,0,0,0.6963624954223633,2,0,0.6764651536941528,2,overcomplex_heads,overcomplex_heads
64,3,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,3,3,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many monsters have a square head?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,6.1699250014423175,1,0,1,1,0,1,0.6963624954223633,2,"overcomplex_heads,zero_heads",zero_heads
64,4,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,3,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many monsters have more than one leg?,How many monsters have more than one leg?,(++ (map (lambda x0 (> (legs x0) 1)) (set b r p))),(++ (map (lambda x0 (> (legs x0) n)) (set b r p))),NA,1.6982458350160314,5.75488750216347,0,0,0,0.6938582062721252,3,0,0.9891265630722046,1,"overcomplex_heads,zero_heads,best_heads","overcomplex_heads,zero_heads,best_heads"
65,1,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,2,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many of the monsters have two legs?,How many monsters have two legs?,(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.6982458350160314,5.75488750216347,0,0,0,0.7383034825325012,2,NA,NA,NA,NA,NA
65,2,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,2,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many monsters have a square head?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,6.1699250014423175,1,0,1,1,0,0,0.7383034825325012,2,nonbest_heads,nonbest_heads
65,3,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,2,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Does the purple monster have two legs?,Does the purple monster have two legs?,(== (legs p) 2),(== (legs c) n),NA,0.9182958340544896,3.169925001442312,0,0,0,0.5576375126838684,11,0,0.8015987873077393,9,"nonbest_heads,best_heads","nonbest_heads,best_heads"
65,4,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,2,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Does the red monster have a circle head?,Does the red monster have a circle head?,(== (shape r) Circle),(== (shape c) s),NA,1,1,0,0,0,0.674372673034668,9,0,0.674372673034668,2,"nonbest_heads,best_heads,zero_heads","nonbest_heads,best_heads,zero_heads"
66,1,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many monsters have a circle head ?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,1,0,0,0.6518522500991821,3,NA,NA,NA,NA,NA
66,2,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,How many monsters have square head ?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.5,2,1,0,0,0.6724658012390137,3,1,NA,NA,nonbest_legs,
66,3,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many legs combined does the monsters have ?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.5259686330010953,6.754887502163456,0,1,1,1,0,0,0.6724658012390137,3,"nonbest_legs,zero_legs","nonbest_legs,zero_legs"
66,4,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have ?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,0,0.7946264743804932,9,"nonbest_legs,zero_legs,best_legs","nonbest_legs,zero_legs,best_legs"
67,1,Adults,Adults,NA,NA,NA,heads,good,baseline,3,2,3,NA,NA,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,how many total legs do he blue and purple monster have combined,How many legs do the blue and purple monsters have combined?,(+ (legs b) (legs p)),(+ (legs c) (legs c)),NA,2.197159723424149,3.169925001442312,0,0,0,0.6106730699539185,11,NA,NA,NA,NA,NA
67,2,Adults,Adults,NA,NA,NA,heads,good,baseline,3,2,3,NA,NA,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,what is the head shape of the red monster,What shape is the red monster's head?,(shape r),(shape c),NA,1,1,0,0,0,0.7074099779129028,11,0,0.5098546743392944,4,zero_heads,zero_heads
67,3,Adults,Adults,NA,NA,NA,heads,good,baseline,3,2,3,NA,NA,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,what is the total number of apendeges,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.197159723424149,6.1699250014423175,0,1,0,0.6724658012390137,3,0,0.8531169891357422,8,"zero_heads,overcomplex_heads","zero_heads,overcomplex_heads"
67,4,Adults,Adults,NA,NA,NA,heads,good,baseline,3,2,3,NA,NA,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,how many total feet are there,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.525968633001098,5.75488750216347,0,1,0,0.6724658012390137,3,1,0.8531169891357422,8,"zero_heads,overcomplex_heads,best_heads","zero_heads,overcomplex_heads"
70,1,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs do the monsters have combined?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,1.584962500721156,1.584962500721156,0,1,1,1,0,NA,NA,NA,NA,NA
70,2,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many monsters have round heads?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.4999999999999998,6.754887502163456,1,0,0,0.6518522500991821,3,0,0.6518522500991821,3,overcomplex_legs,overcomplex_legs
70,3,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,How many monsters have circle heads?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.5,2,1,0,0,0.6518522500991821,3,1,0.6518522500991821,3,"overcomplex_legs,best_legs",overcomplex_legs
70,4,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many legs total are there?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,1.584962500721156,4.584962500721156,0,1,1,1,0,1,0.6518522500991821,3,"overcomplex_legs,best_legs,zero_legs","best_legs,zero_legs"
71,1,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Do either the blue or red monster have the same shape head as the purple monster?,Does either the blue monster or the red monster have the same head shape as the purple monster?,(or (== (shape b) (shape p)) (== (shape r) (shape p))),(or (== (shape c) (shape c)) (== (shape c) (shape c))),NA,0.8112781244591324,6.754887502163456,0,0,0,0.5075786113739014,11,NA,NA,NA,NA,NA
71,2,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many legs does the blue monster have?,How many legs does the blue monster have?,(legs b),(legs c),NA,1.584962500721156,4.584962500721156,0,0,0,0.8042423725128174,9,0,0.5978201031684875,10,best_legs,best_legs
71,3,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Do either the red or blue monster have the same shape head as the purple monster?,Does either the blue monster or the red monster have the same head shape as the purple monster?,(or (== (shape b) (shape p)) (== (shape r) (shape p))),(or (== (shape c) (shape c)) (== (shape c) (shape c))),NA,0.8112781244591328,2,0,0,0,0.5075786113739014,11,1,0.5978201031684875,10,"best_legs,nonbest_legs",nonbest_legs
71,4,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,1,0.602590799331665,10,"best_legs,nonbest_legs,zero_legs","best_legs,zero_legs"
72,1,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,how many legs does the purple monster have,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,NA,NA,NA,NA,NA
72,2,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,are all the monsters heads the same,Do all the monsters have the same head shape?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),NA,0.8112781244591324,6.754887502163456,0,0,0,0.5870043039321899,2,0,0.46998822689056396,9,overcomplex_legs,overcomplex_legs
72,3,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,do the monsters have the same heads,Do all the monsters have the same head shape?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),NA,0.8112781244591322,4.584962500721156,0,0,0,0.5870043039321899,2,1,0.46998822689056396,9,"overcomplex_legs,best_legs",overcomplex_legs
72,4,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,are all of the heads the same or different,Do all the monsters have the same head shape?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),NA,0.8112781244591328,2,0,0,0,0.5870043039321899,2,1,0.46998822689056396,9,"overcomplex_legs,best_legs,nonbest_legs",overcomplex_legs
73,1,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,NA,NA,NA,NA,NA
73,2,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,how many monsters have round heads?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,1,0,0,0.6518522500991821,3,0,0.6032723188400269,11,overcomplex_legs,overcomplex_legs
73,3,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,what are the head shapes of the red and blue monsters?,NA,NA,NA,invalid,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,4,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,What are the leg and head shapes for all the monsters?,NA,NA,NA,invalid,NA,6.754887502163456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,1,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Which shaped head does the red one have?,What shape is the red monster's head?,(shape r),(shape c),NA,1,2,0,0,0,0.5001871585845947,9,NA,NA,NA,NA,NA
74,2,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,What shaped heads do they have?,NA,NA,NA,invalid,NA,4.584962500721156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,3,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,0,0.5984600782394409,1,zero_legs,zero_legs
74,4,Adults,Adults,NA,NA,NA,legs,bad,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many legs does each one have?,NA,NA,NA,invalid,NA,6.754887502163456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,1,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,how many monsters have a square head,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,1,0,0,0.6724658012390137,3,NA,NA,NA,NA,NA
75,2,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,how many legs does the purple monster have,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,0,0.6266854405403137,11,nonbest_legs,nonbest_legs
75,3,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,how many monsters have a square head,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.5,2,1,0,0,0.6724658012390137,3,1,0.6266854405403137,11,"nonbest_legs,overcomplex_legs",overcomplex_legs
75,4,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,how many legs do the monsters have combined,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.5259686330010953,6.754887502163456,0,1,1,1,0,0,0.7946264743804932,3,"nonbest_legs,overcomplex_legs,zero_legs","nonbest_legs,overcomplex_legs,zero_legs"
78,1,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs do they have?,NA,NA,NA,ambiguous,NA,1.584962500721156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,2,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,how many legs,How many legs does the blue monster have?,(legs b),(legs c),NA,1.584962500721156,4.584962500721156,0,0,0,0.8042423725128174,9,NA,NA,NA,NA,NA
78,3,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,circle or square head?,NA,NA,NA,ambiguous,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,4,Adults,Adults,NA,NA,NA,legs,good,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many legs,NA,NA,NA,ambiguous,NA,6.754887502163456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1,Adults,Adults,NA,NA,NA,heads,good,baseline,3,2,3,NA,NA,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Does the red monster have a square head or circle head?,What shape is the red monster's head?,(shape r),(shape c),NA,1,1,0,0,0,0.7074099779129028,11,NA,NA,NA,NA,NA
79,2,Adults,Adults,NA,NA,NA,heads,good,baseline,3,2,3,NA,NA,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many square heads do they have.,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,6.1699250014423175,1,0,1,1,0,0,0.7074099779129028,11,overcomplex_heads,overcomplex_heads
79,3,Adults,Adults,NA,NA,NA,heads,good,baseline,3,2,3,NA,NA,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many legs are there in the box,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.525968633001098,5.75488750216347,0,1,0,0.6724658012390137,3,0,0.6724658012390137,3,"overcomplex_heads,best_heads","overcomplex_heads,best_heads"
79,4,Adults,Adults,NA,NA,NA,heads,good,baseline,3,2,3,NA,NA,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many legs are in the box,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.197159723424149,3.169925001442312,0,1,0,0.6724658012390137,3,1,0.6724658012390137,3,"overcomplex_heads,best_heads,nonbest_heads","overcomplex_heads,best_heads"
80,1,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,How many of the monsters have a circle head?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.5,2,1,0,0,0.6518522500991821,3,NA,NA,NA,NA,NA
80,2,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How may legs do the monsters have in total?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.5259686330010953,6.754887502163456,0,1,1,1,0,0,0.6518522500991821,3,zero_legs,zero_legs
80,3,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many of the monsters have a square head?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,1,0,0,0.6724658012390137,3,1,0.6724658012390137,3,"zero_legs,best_legs",best_legs
80,4,Adults,Adults,NA,NA,NA,legs,good,exposure,3,2,3,3,3,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,0,0,0,0.7946264743804932,9,0,0.7946264743804932,9,"zero_legs,best_legs,nonbest_legs","zero_legs,best_legs,nonbest_legs"
81,1,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,2,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many monsters have two legs?,How many monsters have two legs?,(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.3921472236645345,3.169925001442312,0,0,0,0.7383034825325012,2,NA,NA,NA,NA,NA
81,2,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,2,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,How many monsters have a square head?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1,1,1,0,1,1,0,0,0.7383034825325012,2,zero_heads,zero_heads
81,3,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,2,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many monsters have a circle head and two legs?,How many monsters have two legs and a circle head?,(++ (map (lambda x0 (and (== (legs x0) 2) (== (shape x0) Circle))) (set b r p))),(++ (map (lambda x0 (and (== (legs x0) n) (== (shape x0) s))) (set b r p))),NA,1.5880914479405832,5.75488750216347,0,0,0,0.8207160830497742,5,0,0.9012043476104736,5,"zero_heads,overcomplex_heads","zero_heads,overcomplex_heads"
81,4,Adults,Adults,NA,NA,NA,heads,bad,exposure,3,2,3,2,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many monsters have a square head and two legs,How many monsters have two legs and a square head?,(++ (map (lambda x0 (and (== (legs x0) 2) (== (shape x0) Square))) (set b r p))),(++ (map (lambda x0 (and (== (legs x0) n) (== (shape x0) s))) (set b r p))),NA,1.0222670655189312,6.1699250014423175,0,0,0,0.912620484828949,5,1,0.9248335957527161,5,"zero_heads,overcomplex_heads,nonbest_heads","zero_heads,overcomplex_heads"
82,1,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,3,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Does monters red and blue have the same number of legs?,Does the red monster have the same number of legs as the blue monster?,(== (legs r) (legs b)),(== (legs c) (legs c)),NA,0.9182958340544892,5.75488750216347,0,0,0,0.5849870443344116,11,NA,NA,NA,NA,NA
82,2,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,3,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many legs does the purple monster have?,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,3.169925001442312,0,0,0,0.6266854405403137,11,0,0.7866542935371399,3,nonbest_heads,nonbest_heads
82,3,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,3,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,What shape head does the red monster have?,What shape is the red monster's head?,(shape r),(shape c),NA,1,1,0,0,0,0.7074099779129028,11,0,0.6445310711860657,1,"nonbest_heads,zero_heads","nonbest_heads,zero_heads"
82,4,Adults,Adults,NA,NA,NA,heads,good,exposure,3,2,3,3,3,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,Do all three monsters share the same shaped head?,Do all the monsters have the same head shape?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),NA,0.8112781244591336,6.1699250014423175,0,0,0,0.7841249704360962,3,0,0.711654543876648,9,"nonbest_heads,zero_heads,overcomplex_heads","nonbest_heads,zero_heads,overcomplex_heads"
83,1,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,What is the total number of legs all the monsters have combined?,How many legs do all the monsters have combined together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,1.584962500721156,1.584962500721156,0,1,1,1,0,NA,NA,NA,NA,NA
83,2,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,How many monsters have circle heads?,How many monsters have a circle head?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.5,2,1,0,0,0.6518522500991821,3,0,0.6518522500991821,3,overcomplex_legs,overcomplex_legs
83,3,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many monsters have square heads?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,1,0,0,0.6724658012390137,3,1,0.6724658012390137,3,"overcomplex_legs,zero_legs",overcomplex_legs
83,4,Adults,Adults,NA,NA,NA,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many monsters have square heads?,How many monsters have a square head?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.4999999999999998,6.754887502163456,1,0,0,0.6724658012390137,3,1,0.6724658012390137,3,"overcomplex_legs,zero_legs,nonbest_legs",overcomplex_legs
